
1491400802
PING 104.16.62.3 (104.16.62.3) 56(84) bytes of data.
64 bytes from 104.16.62.3: icmp_seq=19 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=20 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=21 ttl=53 time=6.36 ms
64 bytes from 104.16.62.3: icmp_seq=22 ttl=53 time=6.57 ms
64 bytes from 104.16.62.3: icmp_seq=23 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=24 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=25 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=26 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=27 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=28 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=29 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=30 ttl=53 time=6.59 ms
64 bytes from 104.16.62.3: icmp_seq=31 ttl=53 time=6.35 ms
64 bytes from 104.16.62.3: icmp_seq=32 ttl=53 time=6.57 ms
64 bytes from 104.16.62.3: icmp_seq=33 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=34 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=35 ttl=53 time=6.53 ms
64 bytes from 104.16.62.3: icmp_seq=36 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=37 ttl=53 time=6.60 ms
64 bytes from 104.16.62.3: icmp_seq=38 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=39 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=40 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=41 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=42 ttl=53 time=6.59 ms
64 bytes from 104.16.62.3: icmp_seq=43 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=44 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=45 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=46 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=47 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=48 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=49 ttl=53 time=6.49 ms
64 bytes from 104.16.62.3: icmp_seq=50 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=51 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=52 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=53 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=54 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=55 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=56 ttl=53 time=6.35 ms
64 bytes from 104.16.62.3: icmp_seq=57 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=58 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=59 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=60 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=61 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=62 ttl=53 time=6.62 ms
64 bytes from 104.16.62.3: icmp_seq=63 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=64 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=65 ttl=53 time=6.50 ms
64 bytes from 104.16.62.3: icmp_seq=66 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=67 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=68 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=69 ttl=53 time=6.63 ms
64 bytes from 104.16.62.3: icmp_seq=70 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=71 ttl=53 time=6.59 ms
64 bytes from 104.16.62.3: icmp_seq=72 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=73 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=74 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=75 ttl=53 time=6.53 ms
64 bytes from 104.16.62.3: icmp_seq=76 ttl=53 time=6.36 ms
64 bytes from 104.16.62.3: icmp_seq=77 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=78 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=79 ttl=53 time=6.53 ms
64 bytes from 104.16.62.3: icmp_seq=80 ttl=53 time=6.50 ms
64 bytes from 104.16.62.3: icmp_seq=81 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=82 ttl=53 time=6.56 ms
64 bytes from 104.16.62.3: icmp_seq=83 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=84 ttl=53 time=6.60 ms
64 bytes from 104.16.62.3: icmp_seq=85 ttl=53 time=6.53 ms
64 bytes from 104.16.62.3: icmp_seq=86 ttl=53 time=6.46 ms
64 bytes from 104.16.62.3: icmp_seq=87 ttl=53 time=6.55 ms
64 bytes from 104.16.62.3: icmp_seq=88 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=89 ttl=53 time=6.50 ms
64 bytes from 104.16.62.3: icmp_seq=90 ttl=53 time=6.50 ms
64 bytes from 104.16.62.3: icmp_seq=91 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=92 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=93 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=94 ttl=53 time=6.54 ms
64 bytes from 104.16.62.3: icmp_seq=95 ttl=53 time=6.53 ms
64 bytes from 104.16.62.3: icmp_seq=96 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=97 ttl=53 time=6.64 ms
64 bytes from 104.16.62.3: icmp_seq=98 ttl=53 time=6.57 ms
64 bytes from 104.16.62.3: icmp_seq=99 ttl=53 time=6.57 ms
64 bytes from 104.16.62.3: icmp_seq=100 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=101 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=102 ttl=53 time=6.66 ms
64 bytes from 104.16.62.3: icmp_seq=103 ttl=53 time=6.61 ms
64 bytes from 104.16.62.3: icmp_seq=104 ttl=53 time=6.48 ms
64 bytes from 104.16.62.3: icmp_seq=105 ttl=53 time=6.52 ms
64 bytes from 104.16.62.3: icmp_seq=106 ttl=53 time=6.47 ms
64 bytes from 104.16.62.3: icmp_seq=107 ttl=53 time=6.65 ms
64 bytes from 104.16.62.3: icmp_seq=108 ttl=53 time=6.57 ms
