
1491400802
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=52 ttl=112 time=265 ms
64 bytes from 202.181.132.41: icmp_seq=53 ttl=112 time=144 ms
64 bytes from 202.181.132.41: icmp_seq=54 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=55 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=56 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=57 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=58 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=59 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=60 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=61 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=62 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=63 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=64 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=65 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=66 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=67 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=68 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=69 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=70 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=71 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=72 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=73 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=74 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=75 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=76 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=77 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=78 ttl=112 time=143 ms
64 bytes from 202.181.132.41: icmp_seq=79 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=80 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=81 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=82 ttl=112 time=260 ms
64 bytes from 202.181.132.41: icmp_seq=83 ttl=112 time=142 ms
64 bytes from 202.181.132.41: icmp_seq=84 ttl=112 time=263 ms
64 bytes from 202.181.132.41: icmp_seq=85 ttl=112 time=262 ms
64 bytes from 202.181.132.41: icmp_seq=86 ttl=112 time=261 ms
64 bytes from 202.181.132.41: icmp_seq=87 ttl=112 time=260 ms
